subject,gender,age,education,income,dummyconf,dummyxprob,dummyyprob,trialn,vignette,conf,xprob,yprob,datetime
hdzw35yzs7s,woman,34,14,40to60K,3,90,10,1,L5,2,50,50,2021-12-13 21:09:24.183366
hdzw35yzs7s,woman,34,14,40to60K,3,90,10,2,G1,1,25,75,2021-12-13 21:09:24.183366
hdzw35yzs7s,woman,34,14,40to60K,3,90,10,3,L10,1,40,60,2021-12-13 21:09:24.183366
hdzw35yzs7s,woman,34,14,40to60K,3,90,10,4,L2,1,30,70,2021-12-13 21:09:24.183366
hdzw35yzs7s,woman,34,14,40to60K,3,90,10,5,G9,0,85,15,2021-12-13 21:09:24.183366
hdzw35yzs7s,woman,34,14,40to60K,3,90,10,6,L11,2,65,35,2021-12-13 21:09:24.183366
hdzw35yzs7s,woman,34,14,40to60K,3,90,10,7,G11,2,50,50,2021-12-13 21:09:24.183366
hdzw35yzs7s,woman,34,14,40to60K,3,90,10,8,G2,2,30,70,2021-12-13 21:09:24.183366
hdzw35yzs7s,woman,34,14,40to60K,3,90,10,9,L1,1,35,65,2021-12-13 21:09:24.183366
hdzw35yzs7s,woman,34,14,40to60K,3,90,10,10,G5,1,55,45,2021-12-13 21:09:24.183366
tik035yzvee,woman,56,20,20to40k,2,53,47,1,G2,3,40,60,2021-12-13 21:18:56.396629
tik035yzvee,woman,56,20,20to40k,2,53,47,2,L10,2,35,65,2021-12-13 21:18:56.396629
tik035yzvee,woman,56,20,20to40k,2,53,47,3,G11,4,50,50,2021-12-13 21:18:56.396629
tik035yzvee,woman,56,20,20to40k,2,53,47,4,L1,1,30,70,2021-12-13 21:18:56.396629
tik035yzvee,woman,56,20,20to40k,2,53,47,5,G5,0,45,55,2021-12-13 21:18:56.396629
tik035yzvee,woman,56,20,20to40k,2,53,47,6,G9,2,50,50,2021-12-13 21:18:56.396629
tik035yzvee,woman,56,20,20to40k,2,53,47,7,L11,2,35,65,2021-12-13 21:18:56.396629
tik035yzvee,woman,56,20,20to40k,2,53,47,8,L2,3,46,54,2021-12-13 21:18:56.396629
tik035yzvee,woman,56,20,20to40k,2,53,47,9,L5,1,50,50,2021-12-13 21:18:56.396629
tik035yzvee,woman,56,20,20to40k,2,53,47,10,G1,1,40,60,2021-12-13 21:18:56.396629
u6l035yzk2k,woman,53,13,<20k,4,97,3,1,G5,4,50,50,2021-12-13 21:10:26.810770
u6l035yzk2k,woman,53,13,<20k,4,97,3,2,G11,3,50,50,2021-12-13 21:10:26.810770
u6l035yzk2k,woman,53,13,<20k,4,97,3,3,L1,2,76,24,2021-12-13 21:10:26.810770
u6l035yzk2k,woman,53,13,<20k,4,97,3,4,L10,1,49,51,2021-12-13 21:10:26.810770
u6l035yzk2k,woman,53,13,<20k,4,97,3,5,L2,1,51,49,2021-12-13 21:10:26.810770
u6l035yzk2k,woman,53,13,<20k,4,97,3,6,G9,3,49,51,2021-12-13 21:10:26.810770
u6l035yzk2k,woman,53,13,<20k,4,97,3,7,G1,3,17,83,2021-12-13 21:10:26.810770
u6l035yzk2k,woman,53,13,<20k,4,97,3,8,L11,2,72,28,2021-12-13 21:10:26.810770
u6l035yzk2k,woman,53,13,<20k,4,97,3,9,G2,3,29,71,2021-12-13 21:10:26.810770
u6l035yzk2k,woman,53,13,<20k,4,97,3,10,L5,4,50,50,2021-12-13 21:10:26.810770
05gf35yzzzk,man,78,16,na,3,78,22,1,L2,2,50,50,2021-12-13 21:10:29.873624
05gf35yzzzk,man,78,16,na,3,78,22,2,G1,2,50,50,2021-12-13 21:10:29.873624
05gf35yzzzk,man,78,16,na,3,78,22,3,L10,1,36,64,2021-12-13 21:10:29.873624
05gf35yzzzk,man,78,16,na,3,78,22,4,G9,1,50,50,2021-12-13 21:10:29.873624
05gf35yzzzk,man,78,16,na,3,78,22,5,G2,2,50,50,2021-12-13 21:10:29.873624
05gf35yzzzk,man,78,16,na,3,78,22,6,L5,2,50,50,2021-12-13 21:10:29.873624
05gf35yzzzk,man,78,16,na,3,78,22,7,L11,3,20,80,2021-12-13 21:10:29.873624
05gf35yzzzk,man,78,16,na,3,78,22,8,G11,3,50,50,2021-12-13 21:10:29.873624
05gf35yzzzk,man,78,16,na,3,78,22,9,L1,3,50,50,2021-12-13 21:10:29.873624
05gf35yzzzk,man,78,16,na,3,78,22,10,G5,3,50,50,2021-12-13 21:10:29.873624
61y535yz5ox,woman,35,16,60to80k,4,95,5,1,L2,2,49,51,2021-12-13 21:10:24.437778
61y535yz5ox,woman,35,16,60to80k,4,95,5,2,L5,0,50,50,2021-12-13 21:10:24.437778
61y535yz5ox,woman,35,16,60to80k,4,95,5,3,G1,0,50,50,2021-12-13 21:10:24.437778
