subject,gender,age,education,income,dummyconf,dummyxprob,dummyyprob,trialn,vignette,conf,xprob,yprob
pcxh35yzq6x,man,57,16,80to100k,4,90,10,6,G1,0,50,50
pcxh35yzq6x,man,57,16,80to100k,4,90,10,7,L2,2,39,61
pcxh35yzq6x,man,57,16,80to100k,4,90,10,8,L5,0,50,50
pcxh35yzq6x,man,57,16,80to100k,4,90,10,9,G9,0,50,50
pcxh35yzq6x,man,57,16,80to100k,4,90,10,10,G11,3,50,50
w2fr35yzivo,woman,44,16,>100k,4,90,10,1,L5,4,50,50
w2fr35yzivo,woman,44,16,>100k,4,90,10,2,G1,2,50,50
w2fr35yzivo,woman,44,16,>100k,4,90,10,3,G2,3,33,67
w2fr35yzivo,woman,44,16,>100k,4,90,10,4,G11,3,50,50
w2fr35yzivo,woman,44,16,>100k,4,90,10,5,L10,3,30,70
w2fr35yzivo,woman,44,16,>100k,4,90,10,6,G9,2,50,50
w2fr35yzivo,woman,44,16,>100k,4,90,10,7,L1,3,66,34
w2fr35yzivo,woman,44,16,>100k,4,90,10,8,L11,3,43,57
w2fr35yzivo,woman,44,16,>100k,4,90,10,9,G5,3,50,50
w2fr35yzivo,woman,44,16,>100k,4,90,10,10,L2,3,67,33
w8pl35yzq8t,woman,48,14,20to40k,4,94,6,1,G5,0,38,62
w8pl35yzq8t,woman,48,14,20to40k,4,94,6,2,G2,3,47,53
w8pl35yzq8t,woman,48,14,20to40k,4,94,6,3,G11,1,31,69
w8pl35yzq8t,woman,48,14,20to40k,4,94,6,4,L1,2,48,52
w8pl35yzq8t,woman,48,14,20to40k,4,94,6,5,G9,1,60,40
w8pl35yzq8t,woman,48,14,20to40k,4,94,6,6,L10,2,73,27
w8pl35yzq8t,woman,48,14,20to40k,4,94,6,7,L11,1,29,71
w8pl35yzq8t,woman,48,14,20to40k,4,94,6,8,L5,2,40,60
w8pl35yzq8t,woman,48,14,20to40k,4,94,6,9,G1,2,49,51
w8pl35yzq8t,woman,48,14,20to40k,4,94,6,10,L2,2,35,65
3emq35yzdng,man,28,18,60to80k,4,97,3,1,L5,4,50,50
3emq35yzdng,man,28,18,60to80k,4,97,3,2,L11,3,70,30
3emq35yzdng,man,28,18,60to80k,4,97,3,3,L1,0,50,50
3emq35yzdng,man,28,18,60to80k,4,97,3,4,L2,3,10,90
3emq35yzdng,man,28,18,60to80k,4,97,3,5,L10,1,30,70
3emq35yzdng,man,28,18,60to80k,4,97,3,6,G5,4,50,50
3emq35yzdng,man,28,18,60to80k,4,97,3,7,G1,0,50,50
3emq35yzdng,man,28,18,60to80k,4,97,3,8,G9,4,50,50
3emq35yzdng,man,28,18,60to80k,4,97,3,9,G2,3,80,20
3emq35yzdng,man,28,18,60to80k,4,97,3,10,G11,3,50,50
tywo35yz7o5,woman,47,16,>100k,4,96,4,1,G2,3,40,60
tywo35yz7o5,woman,47,16,>100k,4,96,4,2,L1,1,30,70
tywo35yz7o5,woman,47,16,>100k,4,96,4,3,G11,0,50,50
tywo35yz7o5,woman,47,16,>100k,4,96,4,4,G9,0,55,45
tywo35yz7o5,woman,47,16,>100k,4,96,4,5,L5,0,25,75
tywo35yz7o5,woman,47,16,>100k,4,96,4,6,G1,2,10,90
tywo35yz7o5,woman,47,16,>100k,4,96,4,7,L11,1,35,65
tywo35yz7o5,woman,47,16,>100k,4,96,4,8,L10,2,20,80
tywo35yz7o5,woman,47,16,>100k,4,96,4,9,L2,3,5,95
tywo35yz7o5,woman,47,16,>100k,4,96,4,10,G5,0,65,35
h7jp35yz2h7,man,31,14,20to40k,3,80,20,1,L2,3,40,60
h7jp35yz2h7,man,31,14,20to40k,3,80,20,2,G5,4,50,50
h7jp35yz2h7,man,31,14,20to40k,3,80,20,3,G1,4,50,50
h7jp35yz2h7,man,31,14,20to40k,3,80,20,4,G11,4,50,50
h7jp35yz2h7,man,31,14,20to40k,3,80,20,5,G2,2,35,65
h7jp35yz2h7,man,31,14,20to40k,3,80,20,6,L5,4,50,50
h7jp35yz2h7,man,31,14,20to40k,3,80,20,7,L10,3,25,75
h7jp35yz2h7,man,31,14,20to40k,3,80,20,8,L1,2,30,70
h7jp35yz2h7,man,31,14,20to40k,3,80,20,9,L11,3,35,65
h7jp35yz2h7,man,31,14,20to40k,3,80,20,10,G9,1,60,40
q3fw35yz807,woman,37,16,80to100k,4,95,5,1,L1,2,50,50
q3fw35yz807,woman,37,16,80to100k,4,95,5,2,L2,1,50,50
q3fw35yz807,woman,37,16,80to100k,4,95,5,3,L10,1,56,44
q3fw35yz807,woman,37,16,80to100k,4,95,5,4,G5,1,50,50
q3fw35yz807,woman,37,16,80to100k,4,95,5,5,G1,0,46,54
q3fw35yz807,woman,37,16,80to100k,4,95,5,6,L11,2,58,42
q3fw35yz807,woman,37,16,80to100k,4,95,5,7,G11,0,50,50
q3fw35yz807,woman,37,16,80to100k,4,95,5,8,G9,1,48,52
q3fw35yz807,woman,37,16,80to100k,4,95,5,9,G2,2,58,42
q3fw35yz807,woman,37,16,80to100k,4,95,5,10,L5,1,53,47
r3qk35yzypw,man,54,16,<20k,3,77,23,1,L1,0,70,30
r3qk35yzypw,man,54,16,<20k,3,77,23,2,G5,3,50,50
